bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,1.0,1,False,True,True,False,private_room,2,21.11931,-86.84057,24,https://www.airbnb.com/rooms/22083962,22083962,18.045112781954888
1.0,1.0,1,True,True,False,False,private_room,2,21.182156,-86.8134,28,https://www.airbnb.com/rooms/24555627,24555627,21.052631578947366
1.0,1.0,1,True,True,False,False,private_room,2,21.15255,-86.82882,25,https://www.airbnb.com/rooms/34092041,34092041,18.796992481203006
1.0,1.0,1,True,True,True,False,private_room,2,21.14864,-86.84539000000002,21,https://www.airbnb.com/rooms/28960172,28960172,15.789473684210526
1.0,1.0,1,True,True,True,False,entire_home,2,21.155703,-86.82785,30,https://www.airbnb.com/rooms/21893963,21893963,22.55639097744361
1.0,1.0,1,True,True,False,False,private_room,2,21.19604,-86.81909,22,https://www.airbnb.com/rooms/33228798,33228798,16.541353383458645
1.0,1.0,2,True,True,True,False,private_room,3,21.15825,-86.83819,24,https://www.airbnb.com/rooms/24912655,24912655,18.045112781954888
1.0,2.0,2,True,True,True,False,entire_home,6,21.13827,-86.8475,30,https://www.airbnb.com/rooms/27340651,27340651,22.55639097744361
1.0,1.0,3,True,True,False,False,entire_home,4,21.166,-86.82896,30,https://www.airbnb.com/rooms/31661830,31661830,22.55639097744361
1.0,1.0,1,True,True,False,False,entire_home,2,21.15639,-86.83519,25,https://www.airbnb.com/rooms/32448037,32448037,18.796992481203006
1.0,1.0,1,True,True,False,False,entire_home,2,21.09039,-86.85705,28,https://www.airbnb.com/rooms/23543878,23543878,21.052631578947366
1.0,1.0,2,True,True,False,False,private_room,4,21.17474,-86.82647,22,https://www.airbnb.com/rooms/15282518,15282518,16.541353383458645
1.0,1.0,1,True,True,True,False,entire_home,2,21.0876,-86.84311,29,https://www.airbnb.com/rooms/20213490,20213490,21.804511278195488
1.5,1.0,1,True,True,False,False,private_room,2,21.13058,-86.76513,25,https://www.airbnb.com/rooms/18181878,18181878,18.796992481203006
1.0,0.0,1,True,True,False,False,entire_home,2,21.12837,-86.76344,29,https://www.airbnb.com/rooms/30287667,30287667,21.804511278195488
1.0,1.0,2,True,True,False,False,private_room,4,21.17518,-86.8245,22,https://www.airbnb.com/rooms/19943378,19943378,16.541353383458645
1.5,1.0,1,False,True,False,False,private_room,2,21.14495,-86.84655,22,https://www.airbnb.com/rooms/16604487,16604487,16.541353383458645
1.0,0.0,1,True,True,False,False,private_room,2,21.18463,-86.83416,22,https://www.airbnb.com/rooms/32841627,32841627,16.541353383458645
1.0,2.0,2,True,True,False,False,entire_home,4,21.13758,-86.84324000000002,24,https://www.airbnb.com/rooms/24149904,24149904,18.045112781954888
1.0,1.0,1,False,True,True,False,entire_home,2,21.1626,-86.84178,30,https://www.airbnb.com/rooms/16643266,16643266,22.55639097744361
1.0,2.0,3,True,True,False,False,entire_home,7,21.161837,-86.842049,24,https://www.airbnb.com/rooms/22602634,22602634,18.045112781954888
1.0,1.0,2,True,True,True,False,entire_home,4,21.14588,-86.82903,29,https://www.airbnb.com/rooms/32164824,32164824,21.804511278195488
1.0,0.0,1,True,True,True,False,private_room,2,21.13616,-86.83085,28,https://www.airbnb.com/rooms/22495268,22495268,21.052631578947366
1.5,1.0,1,True,True,True,False,private_room,2,21.157265,-86.856155,21,https://www.airbnb.com/rooms/22399858,22399858,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.14495,-86.84643,22,https://www.airbnb.com/rooms/18612030,18612030,16.541353383458645
1.0,1.0,1,True,True,False,False,entire_home,2,21.15543,-86.84255999999998,28,https://www.airbnb.com/rooms/25294024,25294024,21.052631578947366
1.0,1.0,1,True,True,False,False,entire_home,2,21.14586,-86.84076,30,https://www.airbnb.com/rooms/18312046,18312046,22.55639097744361
1.0,2.0,3,True,True,True,False,entire_home,4,21.140249,-86.839737,32,https://www.airbnb.com/rooms/25073476,25073476,24.06015037593985
1.5,2.0,3,True,True,False,False,entire_home,6,21.15488,-86.85683,24,https://www.airbnb.com/rooms/32739567,32739567,18.045112781954888
1.0,1.0,1,False,True,False,False,entire_home,4,21.150299,-86.868279,24,https://www.airbnb.com/rooms/25428160,25428160,18.045112781954888
1.0,1.0,2,True,True,True,False,entire_home,3,21.08729,-86.84485,29,https://www.airbnb.com/rooms/19195624,19195624,21.804511278195488
1.0,2.0,3,True,True,False,False,entire_home,4,21.15904,-86.89016,21,https://www.airbnb.com/rooms/22360877,22360877,15.789473684210526
1.0,1.0,1,True,True,True,False,private_room,2,21.16463,-86.8377,22,https://www.airbnb.com/rooms/18039601,18039601,16.541353383458645
1.0,1.0,1,True,True,False,True,entire_home,2,21.16393,-86.82844,26,https://www.airbnb.com/rooms/35516054,35516054,19.548872180451127
1.0,1.0,1,False,True,True,False,private_room,2,21.16493,-86.82176,29,https://www.airbnb.com/rooms/31046115,31046115,21.804511278195488
1.0,1.0,1,True,True,False,False,entire_home,2,21.17702,-86.8217,32,https://www.airbnb.com/rooms/19080641,19080641,24.06015037593985
1.0,1.0,2,False,True,True,False,private_room,3,21.1435,-86.8518,21,https://www.airbnb.com/rooms/18736543,18736543,15.789473684210526
2.0,2.0,1,True,True,False,False,private_room,2,21.16457,-86.82943,21,https://www.airbnb.com/rooms/31264238,31264238,15.789473684210526
1.0,1.0,2,True,True,False,False,private_room,2,21.160267,-86.828369,22,https://www.airbnb.com/rooms/12847061,12847061,16.541353383458645
1.0,1.0,1,True,True,False,False,entire_home,2,21.155806,-86.839737,24,https://www.airbnb.com/rooms/29823345,29823345,18.045112781954888
1.0,1.0,1,True,True,False,False,private_room,2,21.175228,-86.821106,24,https://www.airbnb.com/rooms/26533933,26533933,18.045112781954888
1.0,1.0,2,True,True,False,False,private_room,2,21.16328,-86.83091,21,https://www.airbnb.com/rooms/26432518,26432518,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.17698,-86.81317,25,https://www.airbnb.com/rooms/23360141,23360141,18.796992481203006
1.0,2.0,3,True,True,True,False,entire_home,5,21.13571,-86.84006,21,https://www.airbnb.com/rooms/21484660,21484660,15.789473684210526
1.0,1.0,1,True,True,False,False,entire_home,4,21.15965,-86.84925,29,https://www.airbnb.com/rooms/32523385,32523385,21.804511278195488
