bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,1,1,FALSE,51,10571046
1,1,1,TRUE,45,24804259
0.5,1,2,TRUE,47,26254587
1,1,1,TRUE,45,27937432
2,2,3,TRUE,46,35716044
2,2,2,TRUE,47,28388982
1,2,2,TRUE,47,17490722
1,1,1,TRUE,47,22166277
1,1,2,TRUE,46,25945306
2,2,3,TRUE,51,31177192
1,1,1,TRUE,42,27937443
3,3,4,TRUE,51,23679956
1,1,1,TRUE,41,32214002
2,2,3,TRUE,51,29030048
1,1,1,TRUE,45,19737126
1,1,1,TRUE,46,29675666
1,2,2,FALSE,50,20330103
2.5,3,3,TRUE,47,29315835
1,2,4,FALSE,41,22047370
1,1,2,TRUE,46,16194047
1,2,4,TRUE,41,32915103
1,1,1,TRUE,41,35678442
1,2,3,TRUE,45,28051355
1,2,2,TRUE,49,33214405
1,1,1,FALSE,41,15203188
1,1,1,TRUE,51,30319111
1,1,1,TRUE,41,26896777
1,1,1,TRUE,47,29675913
2,2,3,TRUE,51,29569306
1,1,1,TRUE,41,28512755
1,2,2,FALSE,41,13978328
1,1,1,TRUE,49,14786807
1,0,1,TRUE,46,31991473
2.5,3,4,TRUE,42,33880231
1,1,1,TRUE,50,35493447
1,3,3,TRUE,42,21868413
1,1,1,TRUE,41,27014016
1,1,2,TRUE,45,33592895
2.5,3,4,TRUE,49,34471078
1,0,1,FALSE,41,31316972
2,2,4,TRUE,51,30941717
2,2,4,TRUE,41,23853711
1,2,3,TRUE,41,17211751
1,1,1,TRUE,49,18432539
1,0,1,TRUE,45,33942020
1,1,1,TRUE,41,26918148
2,2,3,TRUE,51,20992060
2.5,3,8,TRUE,47,15451759
2,2,2,FALSE,46,22980500
2.5,1,2,TRUE,45,34001432
2,3,4,FALSE,47,19659734
1,1,1,TRUE,50,34120931
1,0,1,TRUE,43,33961073
1,1,1,TRUE,46,17940776
2,2,3,TRUE,51,31413734
1,2,3,TRUE,47,31282922
2,2,2,TRUE,51,22878948
1,2,4,TRUE,47,17267733
2.5,3,5,TRUE,46,25293017
1,2,5,TRUE,47,11158960
1,2,3,TRUE,51,20184678
1,1,1,TRUE,41,35463845
1,1,1,TRUE,41,16093605
1,1,2,TRUE,50,30497100
1,2,5,TRUE,46,23071793
1,1,2,TRUE,47,31138894
1,1,1,TRUE,41,33786578
1,2,2,TRUE,45,17745494
1,1,1,FALSE,51,23669815
1,2,3,TRUE,51,26642078
2,2,4,TRUE,51,31016325
1,0,1,TRUE,46,21644850
2.5,1,1,TRUE,45,32283734
